what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1333572022790
started,bundle,com.liferay.ide.eclipse.project.ui,1.4.0.v201110020918,"com.liferay.ide.eclipse.project.ui",1333572022808
started,bundle,com.liferay.ide.eclipse.ui,1.4.0.v201110020918,"com.liferay.ide.eclipse.ui",1333572022825
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.202.v201108180247,"org.eclipse.jst.ws.jaxrs.core",1333572022826
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1333572022857
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1333572022858
started,bundle,org.maven.ide.eclipse,0.12.1.20110112-1712,"org.maven.ide.eclipse",1333572022858
started,bundle,org.maven.ide.eclipse.jdt,0.12.1.20110112-1712,"org.maven.ide.eclipse.jdt",1333572022873
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.1.20110112-1712,"org.maven.ide.eclipse.maven_model_edit",1333572022874
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1333572022874
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1333572022891
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1333572022891
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.core",1333572022914
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.ui",1333572022946
started,bundle,org.eclipse.mylyn.commons.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.core",1333572022954
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.net",1333572022954
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.core",1333572022955
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1333572022955
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.ui",1333572022956
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1333572022965
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1333572022978
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1333572022989
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1333572023005
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1333572023007
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.index.core",1333572023008
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1333572023026
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1333572023027
os,sysinfo,,,"linux",1333572023032
arch,sysinfo,,,"x86",1333572023032
ws,sysinfo,,,"gtk",1333572023033
locale,sysinfo,,,"es_ES",1333572023033
processors,sysinfo,,,"4",1333572023033
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333572023033
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1333572023033
java.specification.name,sysinfo,,,"Java Platform API Specification",1333572023033
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333572023033
java.specification.version,sysinfo,,,"1.6",1333572023033
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333572023033
java.version,sysinfo,,,"1.6.0_20",1333572023033
java.vm.info,sysinfo,,,"mixed mode, sharing",1333572023033
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333572023033
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333572023033
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333572023033
java.vm.specification.version,sysinfo,,,"1.0",1333572023033
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333572023033
java.vm.version,sysinfo,,,"16.3-b01",1333572023033
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1333572024791
started,bundle,com.liferay.ide.eclipse.core,1.4.0.v201110020918,"com.liferay.ide.eclipse.core",1333572025478
started,bundle,com.liferay.ide.eclipse.project.core,1.5.0.v201110020918,"com.liferay.ide.eclipse.project.core",1333572025482
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1333572025504
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1333572025528
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1333572025588
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1333572025900
started,bundle,com.liferay.ide.eclipse.sdk,1.4.0.v201110020918,"com.liferay.ide.eclipse.sdk",1333572025992
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1333572026059
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1333572026062
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1333572026178
started,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1333572026195
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1333572026310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572033196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572061424
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1333572061501
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1333572074059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572075607
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1333572075667
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1333572075909
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1333572075927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572076097
started,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1333572076453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572077492
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1333572102251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572102268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572102628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572102758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1333572112279
